"Freq"	"S22 magnitude"			"S22 phase"		
"GHz"	18	20	26	18	20	26
15.000000	1.651E-04	5.961E-04	2.916E-04	43.554	33.943	-131.331
15.009375	6.307E-04	7.122E-04	3.841E-04	38.863	-2.004	78.645
15.018750	2.772E-04	4.929E-04	5.050E-04	-137.531	102.229	95.477
15.028125	5.392E-04	1.042E-03	7.940E-04	134.053	89.316	94.407
15.037500	4.673E-04	8.353E-04	3.603E-04	62.906	170.204	139.233
15.046875	4.392E-04	9.123E-04	3.527E-04	72.346	148.177	-161.068
15.056250	6.139E-04	1.003E-03	5.045E-04	92.356	44.317	-141.252
15.065625	9.468E-04	1.113E-03	2.200E-04	165.008	-140.623	-129.796
15.075000	2.583E-04	5.358E-04	6.071E-04	-60.515	-81.235	113.474
15.084375	1.058E-03	4.901E-04	1.651E-04	-55.386	-19.019	153.243
15.093750	4.330E-04	2.364E-04	5.324E-04	1.071	-7.664	-73.223
15.103125	4.469E-04	1.204E-03	3.181E-04	98.474	31.509	-65.405
15.112500	9.113E-04	5.128E-04	4.985E-04	-38.580	16.477	-56.219
15.121875	1.333E-04	4.158E-04	6.275E-04	146.358	-100.445	-55.588
15.131250	3.256E-04	8.511E-04	9.294E-04	-31.262	-45.296	-37.506
15.140625	5.299E-04	2.660E-04	4.866E-04	-77.143	115.379	52.789
15.150000	1.812E-04	7.334E-04	8.144E-05	95.907	66.147	161.37
15.159375	6.789E-04	9.690E-04	5.216E-04	-132.451	113.754	-152.642
15.168750	5.428E-04	5.958E-04	1.158E-04	-163.184	158.204	165.444
15.178125	1.422E-04	1.097E-03	7.257E-04	99.844	154.958	178.779
15.187500	2.812E-04	5.491E-04	8.175E-04	-132.216	102.246	81.431
15.196875	1.152E-03	3.837E-04	7.468E-04	144.346	35.558	-38.231
15.206250	1.872E-04	5.496E-04	5.048E-04	52.152	-138.738	109.825
15.215625	3.703E-04	5.141E-04	2.272E-04	-39.474	-107.219	14.281
15.225000	8.440E-04	5.453E-04	8.925E-04	-113.991	38.586	-24.437
15.234375	6.193E-04	5.204E-04	1.598E-04	28.610	15.853	-44.398
15.243750	5.690E-04	9.266E-04	2.184E-04	-6.340	18.417	61.407
15.253125	3.557E-04	6.309E-04	2.785E-04	-11.130	-3.299	56.623
