!Agilent,Technologies,N5242A,MY48420936,A.09.20.06,,,,
!Agilent,N5242A:,A.09.20.06,,,,,,
!Date:,Thursday,January,17,2013,9:52:53,,,
!Correction:,S11(Full,2,Port(1,2)),,,,
!S21(Full,2,Port(1,2)),,,,,
!S12(Full,2,Port(1,2)),,,,,
!S22(Full,2,Port(1,2)),,,,,
!S2P,File:,Measurements:,S11,S21,S12,S22:,,
#,Hz,S,dB,R,50,,,
10000000,-12.285791,-134.9951,-2.3952639,-10.617912,-0.79487252,-13.099424,-6.601614,28.144539
22475000,-15.504327,-159.88814,-1.840452,-63.693188,-0.94960052,-74.029686,-8.5644779,-89.118141
34950000,-13.026481,-152.94218,-1.763261,-119.35365,-0.92599136,-140.31584,-9.8403511,154.49605
47425000,-23.808487,-163.13956,-1.6951599,-169.42598,-0.94438887,158.36417,-10.376671,44.732384
59900000,-18.975784,-112.66352,-1.3925211,135.19986,-0.71811515,93.05072,-11.419867,-61.880981
72375000,-26.750862,106.85267,0.22316606,-84.162224,0.13784237,-89.832237,-15.233961,106.58824
84850000,-17.927849,66.038452,0.31962377,-146.09041,0.225133,-156.82098,-18.589754,-29.806908
97325000,-21.226019,33.204212,0.24210522,152.76125,0.087366864,136.64157,-18.34506,170.34357
109800000,-17.774221,55.528625,0.30578166,90.964371,0.10636365,70.148727,-14.463842,35.455849
122275000,-19.374327,173.73195,-0.096102215,-107.81894,-0.12053023,-114.17642,-20.318178,159.8884
134750000,-18.348907,101.54323,-0.16070999,-168.13464,-0.19149369,179.44133,-19.504494,86.083344
147225000,-18.553482,36.518871,-0.21484989,131.13788,-0.23029692,113.32085,-19.490705,11.903016
159700000,-18.835064,-17.685432,-0.16692202,70.463531,-0.17120722,46.69125,-19.818527,-50.140961
172175000,-16.226154,132.0166,-0.18265034,-128.95491,-0.18537857,-135.4492,-17.195858,141.32552
184650000,-17.327311,61.994942,-0.18612206,170.91232,-0.17011654,158.11403,-17.574991,81.852196
197125000,-21.617678,25.649874,-0.19481103,110.39649,-0.15307815,91.283897,-19.236309,22.256214
209600000,-17.860998,-5.5082164,-0.30251369,49.28754,-0.19912182,24.285257,-21.24818,-53.542446
222075000,-17.926882,112.5323,-0.17850354,-151.55534,-0.19698957,-157.43565,-16.667028,124.80353
234550000,-16.959269,64.023178,-0.20909841,146.73294,-0.24453445,135.40276,-15.766667,51.960945
247025000,-14.801364,5.4679832,-0.33247909,86.105949,-0.33452678,68.691971,-14.471491,-19.839458
259500000,-13.654621,-68.997223,-0.29159015,25.57279,-0.28280449,2.0440578,-14.035676,-91.624809
271975000,-15.32446,83.409218,-0.29853201,-171.95825,-0.23475523,-177.77039,-16.190498,93.017578
284450000,-15.435323,33.228558,-0.24172668,126.83439,-0.20271716,115.34801,-16.767088,29.088831
296925000,-14.669696,-20.297129,-0.28667277,65.600105,-0.19488125,48.129841,-16.027933,-30.216574
309400000,-14.603179,-82.66172,-0.37962323,4.9512587,-0.2833769,-18.960241,-14.722745,-94.343315
