02/18/15 07:25 PM,A:\TRACE467.CSV,,
Title:                   ,,,
Model:                   ,E4407B,,
Serial Number:           ,US41443441,,
Center Frequency:        ,22000000000,Hz,
Span:                    ,10000000000,Hz,
Resolution Bandwidth:    ,3000000,Hz,
Video Bandwidth:         ,3000000,Hz,
Reference Level:         ,-1.10E+001,dBm,
Sweep Time:              ,1.00E-001,Sec,
Num Points:              ,401,,
,,,
,,,
,Trace 1,Trace 2,Trace 3
Hz,dBm,dBm,dBm
17000000000,-5.09E+001,-2.15E+006,-2.15E+006
17025000000,-5.12E+001,-2.15E+006,-2.15E+006
17050000000,-5.18E+001,-2.15E+006,-2.15E+006
17075000000,-5.15E+001,-2.15E+006,-2.15E+006
17100000000,-5.16E+001,-2.15E+006,-2.15E+006
17125000000,-5.07E+001,-2.15E+006,-2.15E+006
17150000000,-5.07E+001,-2.15E+006,-2.15E+006
17175000000,-5.15E+001,-2.15E+006,-2.15E+006
17200000000,-5.16E+001,-2.15E+006,-2.15E+006
17225000000,-5.05E+001,-2.15E+006,-2.15E+006
17250000000,-5.13E+001,-2.15E+006,-2.15E+006
17275000000,-5.08E+001,-2.15E+006,-2.15E+006
17300000000,-5.10E+001,-2.15E+006,-2.15E+006
17325000000,-5.09E+001,-2.15E+006,-2.15E+006
17350000000,-5.07E+001,-2.15E+006,-2.15E+006
17375000000,-5.16E+001,-2.15E+006,-2.15E+006
17400000000,-5.12E+001,-2.15E+006,-2.15E+006
17425000000,-5.17E+001,-2.15E+006,-2.15E+006
17450000000,-5.17E+001,-2.15E+006,-2.15E+006
17475000000,-5.02E+001,-2.15E+006,-2.15E+006
17500000000,-5.03E+001,-2.15E+006,-2.15E+006
17525000000,-5.14E+001,-2.15E+006,-2.15E+006
17550000000,-5.15E+001,-2.15E+006,-2.15E+006
17575000000,-5.06E+001,-2.15E+006,-2.15E+006
17600000000,-5.04E+001,-2.15E+006,-2.15E+006
17625000000,-4.98E+001,-2.15E+006,-2.15E+006
17650000000,-5.00E+001,-2.15E+006,-2.15E+006
17675000000,-4.99E+001,-2.15E+006,-2.15E+006
17700000000,-5.01E+001,-2.15E+006,-2.15E+006
17725000000,-5.09E+001,-2.15E+006,-2.15E+006
17750000000,-5.08E+001,-2.15E+006,-2.15E+006
17775000000,-5.12E+001,-2.15E+006,-2.15E+006
17800000000,-5.07E+001,-2.15E+006,-2.15E+006
17825000000,-5.14E+001,-2.15E+006,-2.15E+006
17850000000,-5.14E+001,-2.15E+006,-2.15E+006
17875000000,-5.11E+001,-2.15E+006,-2.15E+006
17900000000,-5.13E+001,-2.15E+006,-2.15E+006
17925000000,-5.19E+001,-2.15E+006,-2.15E+006
17950000000,-5.12E+001,-2.15E+006,-2.15E+006
17975000000,-5.22E+001,-2.15E+006,-2.15E+006
18000000000,-5.14E+001,-2.15E+006,-2.15E+006
18025000000,-5.18E+001,-2.15E+006,-2.15E+006
18050000000,-5.24E+001,-2.15E+006,-2.15E+006
18075000000,-5.19E+001,-2.15E+006,-2.15E+006
18100000000,-5.23E+001,-2.15E+006,-2.15E+006
18125000000,-5.28E+001,-2.15E+006,-2.15E+006
18150000000,-5.37E+001,-2.15E+006,-2.15E+006
18175000000,-5.35E+001,-2.15E+006,-2.15E+006
18200000000,-5.28E+001,-2.15E+006,-2.15E+006
18225000000,-5.33E+001,-2.15E+006,-2.15E+006
18250000000,-5.28E+001,-2.15E+006,-2.15E+006
18275000000,-5.40E+001,-2.15E+006,-2.15E+006
18300000000,-5.37E+001,-2.15E+006,-2.15E+006
18325000000,-5.36E+001,-2.15E+006,-2.15E+006
18350000000,-5.30E+001,-2.15E+006,-2.15E+006
18375000000,-5.41E+001,-2.15E+006,-2.15E+006
18400000000,-5.32E+001,-2.15E+006,-2.15E+006
18425000000,-5.32E+001,-2.15E+006,-2.15E+006
18450000000,-5.42E+001,-2.15E+006,-2.15E+006
18475000000,-5.35E+001,-2.15E+006,-2.15E+006
18500000000,-5.25E+001,-2.15E+006,-2.15E+006
18525000000,-5.37E+001,-2.15E+006,-2.15E+006
18550000000,-5.36E+001,-2.15E+006,-2.15E+006
18575000000,-5.37E+001,-2.15E+006,-2.15E+006
18600000000,-5.37E+001,-2.15E+006,-2.15E+006
18625000000,-5.37E+001,-2.15E+006,-2.15E+006
18650000000,-5.34E+001,-2.15E+006,-2.15E+006
18675000000,-5.34E+001,-2.15E+006,-2.15E+006
18700000000,-5.36E+001,-2.15E+006,-2.15E+006
18725000000,-5.34E+001,-2.15E+006,-2.15E+006
18750000000,-5.29E+001,-2.15E+006,-2.15E+006
18775000000,-5.32E+001,-2.15E+006,-2.15E+006
18800000000,-5.29E+001,-2.15E+006,-2.15E+006
18825000000,-5.36E+001,-2.15E+006,-2.15E+006
18850000000,-5.26E+001,-2.15E+006,-2.15E+006
18875000000,-5.32E+001,-2.15E+006,-2.15E+006
18900000000,-5.30E+001,-2.15E+006,-2.15E+006
18925000000,-5.27E+001,-2.15E+006,-2.15E+006
18950000000,-5.23E+001,-2.15E+006,-2.15E+006
18975000000,-5.20E+001,-2.15E+006,-2.15E+006
19000000000,-5.25E+001,-2.15E+006,-2.15E+006
19025000000,-5.28E+001,-2.15E+006,-2.15E+006
19050000000,-5.26E+001,-2.15E+006,-2.15E+006
19075000000,-5.20E+001,-2.15E+006,-2.15E+006
19100000000,-5.16E+001,-2.15E+006,-2.15E+006
19125000000,-5.20E+001,-2.15E+006,-2.15E+006
19150000000,-5.22E+001,-2.15E+006,-2.15E+006
19175000000,-5.19E+001,-2.15E+006,-2.15E+006
19200000000,-5.10E+001,-2.15E+006,-2.15E+006
19225000000,-5.19E+001,-2.15E+006,-2.15E+006
19250000000,-5.09E+001,-2.15E+006,-2.15E+006
19275000000,-5.10E+001,-2.15E+006,-2.15E+006
19300000000,-5.02E+001,-2.15E+006,-2.15E+006
19325000000,-4.98E+001,-2.15E+006,-2.15E+006
19350000000,-5.11E+001,-2.15E+006,-2.15E+006
19375000000,-4.99E+001,-2.15E+006,-2.15E+006
19400000000,-5.05E+001,-2.15E+006,-2.15E+006
19425000000,-5.07E+001,-2.15E+006,-2.15E+006
