Ref pwr dBm,-6.65,-6.65,-6.5,-6.5,-6.8,-6.8,-6.5,-6.5,-7.2,-7.2,-7.16,-7.16,-7.1,-7.1,-7.1,-7.1,-7.3,-7.3,-7.3,-7.3
V1 (volts),,,1.5,1.5,1.4924,1.4924,,,,,,,,,,,,,,
R (K-ohm),,,6.5,6.5,,,,,,,,,,,,,,,,
SN,3,,4,,6,,5,,7,,9,,1,,2,,8,,10,
Receiver,R1,,R2,,R1,,R2,,R1,,R2,,R1,,R2,,R1,,R2,
,18 E,18 H,18 E,18 H,20 E,20 H,20 E,20 H,22 E,22 H,22 E,22 H,24 E,24 H,24 E,24 H,26 E,26 H,26 E,26 H
-10,,,,,,,,,,,,,,,,,,,,
-9,,,,,,,,,,,,,,,,,,,,
-8,,,,,,,,,,,,,,,,,,,,
-7,,,,,,,,,,,,,,,,,,,,
-6,,,,,,,,,,,,,,,,,,,,
-5,,,,,,,,,,,,,,,,,,,,
-4,,,,,,,,,,,,,,,,,,,,
-3,,,,,,,,,,,,,,,,,,,,
-2,,,,,,,,,,,,,,,,,,,,
-1,,,,,,,,,,,,,,,,,,,,
-0.75,,,,,,,,,,,,,,,,,,,,
-0.5,,,,,,,,,,,,,,,,,,,,
-0.25,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,
0.1,,,,,,,,,,,,,,,,,,,,
0.2,,,,,,,,,,,,,,,,,,,,
0.3,,,,,,,,,,,,,,,,,,,,
0.4,,,,,,,,,,,,,,,,,,,,
0.5,,,,,,,,,,,,,,,,,,,,
0.6,,,,,,,,,,,,,,,,,,,,
0.7,,,,,,,,,,,,,,,,,,,,
0.8,,,,,,,,,,,,,,,,,,,,
